Imię i nazwisko,Struktura wypowiedzi,Styl wypowiedzi
Adam Andruszkiewicz,5,5
Adam Dziedzic,5,5
Adam Gomoża,5,5
Adam Krzemiński,5,5
Adam Luboński,5,5
Adrian Witczak,5,5
Adrian Zandberg,5,5
Agata Wojtyszek,5,5
Agnieszka Anna Soin,5,5
Agnieszka Wojciechowska van Heukelom,5,5
Aleksander Mikołaj Mrowczyński,5,5
Alicja Chybicka,5,5
Alicja Łepkowska-Gołas,5,5
Alicja Łuczak,5,5
Andrzej Gawron,5,5
Andrzej Grzyb,3,5
Andrzej Szejna,5,5
Andrzej Śliwka,5,5
Andrzej Tomasz Zapałowski,5,5
Anna Baluch,5,5
Anna Dąbrowska-Banaszek,5,5
Anna Ewa Cicholska,5,5
Anna Gembicka,5,5
Anna Kwiecień,5,5
Anna Paluch,5,5
Anna Pieczarka,5,5
Anna Sobolak,5,5
Anna Wojciechowska,5,5
Antoni Macierewicz,5,5
Arkadiusz Czartoryski,5,5
Artur Jarosław Łańcucki,5,5
Artur Szalbabka,5,5
Barbara Bartuś,5,5
Barbara Grygorcewicz,5,5
Bartłomiej Dorywalski,5,5
Bartosz Romowicz,5,5
Bartosz Zawieja,5,5
Bożena Lisowska,5,5
Czesław Hoc,5,5
Daria Gosek-Popiołek,5,5
Dariusz Matecki,5,5
Dorota Marek,5,5
Dorota Olko,5,5
Elżbieta Anna Polak,5,5
Elżbieta Burkiewicz,5,5
Elżbieta Jolanta Burkiewicz,5,5
Ewa Leniart,5,5
Ewa Schaedler,5,5
Filip Kaczyński,5,5
Fryderyk Sylwester Kapinos,5,5
Grzegorz Adam Płaczek,5,5
Grzegorz Braun,5,5
Grzegorz Lorek,5,5
Grzegorz Puda,5,5
Grzegorz Rusiecki,5,5
Grzegorz Woźniak,5,5
Henryk Szopiński,5,5
Ireneusz Raś,5,5
Ireneusz Zyska,5,5
Iwona Karolewska,5,5
Iwona Małgorzata Krawczyk,5,5
Iwona Maria Kozłowska,5,5
Izabela Bodnar,3,5
Jacek Bogucki,5,5
Jacek Karnowski,3,5
Jacek Niedźwiedzki,5,5
Jacek Osuch,3,5
Jan Michał Dziedziczak,5,5
Jan Moszyński,5,5
Jan Warzecha,5,5
Jarosław Sachajko,5,5
Jarosław Wałęsa,5,5
Jarosław Zieliński,5,5
Jerzy Polaczek,5,5
Joanna Wicha,5,5
Jolanta Zięba-Gzik,5,5
Józefa Szczurek-Żelazko,5,5
Kamil Wnuk,5,5
Karolina Pawliczak,5,5
Katarzyna Maria Piekarska,5,5
Katarzyna Osos,5,5
Kazimierz Gołojuch,5,5
Kazimierz Smoliński,5,5
Klaudia Jachira,5,5
Krystian Łuczak,5,5
Krzysztof Bosak,5,5
Krzysztof Cieciońra,5,5
Krzysztof Kubow,5,5
Krzysztof Mulawa,5,5
Krzysztof Szymański,5,5
Krzysztof Tchórzewski,5,5
Krzysztof Tuduj,5,5
Łukasz Horbatowski,5,5
Łukasz Kmita,5,5
Łukasz Litewka,5,5
Łukasz Mejza,3,5
Łukasz Osmalak,5,5
Łukasz Ściebiorowski,5,5
Maciej Konieczny,5,5
Maciej Wrobel,5,5
Magdalena Filipek-Sobczak,5,5
Magdalena Małgorzata Kołodziejczak,5,5
Maja Ewa Nowak,5,5
Małgorzata Golińska,5,5
Małgorzata Niemczyk,5,5
Marcelina Zawisza,5,5
Marcin Grabowski,5,5
Marcin Józefaciuk,5,5
Marcin Ociepa,5,5
Marcin Romanowski,5,5
Marcin Skonieczka,5,5
Marek Gróbarczyk,5,5
Marek Jakubiak,5,5
Marek Jan Chmielewski,5,5
Maria Joanna Kozłakiewicz,5,5
Maria Koc,5,5
Maria Kurowska,5,5
Mariusz Krystian,5,5
Marta Stożek,3,5
Marta Wcisło,3,5
Marzena Anna Machajek,5,5
Michał Cieślak,5,5
Michał Kołodziejczak,5,5
Michał Kowalski,5,5
Michał Moskal,5,5
Michał Pyrzyk,5,5
Michał Woś,5,5
Michał Wójcik,5,5
Monika Pawłowska,3,5
Monika Wielichowska,5,5
Norbert Jakub Kaczmarczyk,5,5
Norbert Pietrykowski,5,5
Patryk Gabriel,5,5
Patryk Wicher,5,5
Paulina Matysiak,5,5
Paweł Bliznuk,5,5
Paweł Hreniak,5,5
Paweł Masełko,5,5
Paweł Szefernaker,5,5
Paweł Szrot,5,5
Paweł Śliz,5,5
Piotr Adamowicz,5,5
Piotr Górnikiewicz,5,5
Piotr Kandyba,5,5
Piotr Lachowicz,5,5
Piotr Müller,5,5
Piotr Paweł Strach,3,5
Piotr Polak,5,5
Piotr Uruski,5,5
Przemysław Wipler,5,5
Przemysław Witek,5,5
Radosław Lubczyk,5,5
Rafał Weber,5,5
Renata Rak,5,5
Renata Urszula Rak,5,5
Robert Dowhan,5,5
Roman Fritz,5,5
Roman Giertych,3,5
Sebastian Łukaszewicz,3,5
Sławomir Ćwik,5,5
Sławomir Skwarek,5,5
Stanisław Gorczyca,5,5
Stanisław Lamczyk,5,5
Sylwester Tułajew,5,5
Sylwia Bielawska,5,5
Szymon Giżyński,5,5
Tadeusz Samborski,5,5
Tadeusz Tomaszewski,5,5
Teresa Pamuła,5,5
Tomasz Głogowski,5,5
Waldemar Andzel,5,5
Wanda Nowicka,5,5
Wioleta Tomczak,5,5
Witold Tumanowicz,5,5
Władysław Dajczak,5,5
Władysław Kurowski,5,5
Włodzimierz Skalik,5,5
Włodzimierz Tomaszewski,5,5
Zbigniew Bogucki,5,5
Zbigniew Chmielowiec,5,5
Zbigniew Dolata,5,5
Zofia Czernow,5,5
